Symbol,Percentage Change
PSCC,+1.73%
FXZ,+1.61%
UTRN,+1.34%
USAI,+1.31%
IYM,+1.26%
XLB,+1.19%
INDS,+1.17%
PSCT,+1.14%
XLU,+1.13%
FSTA,+1.10%
VAW,+1.09%
DBEU,+1.06%
EWL,+1.06%
XLRE,+1.05%
IHF,+1.04%
VPU,+1.02%
FUTY,+0.99%
NACP,+0.96%
ICF,+0.94%
FXG,+0.90%
IHI,+0.90%
IYK,+0.90%
EUSC,+0.88%
CEFS,+0.84%
IHDG,+0.84%
