Symbol,Percentage Change
BLDR,-19.05%
PLTR,-15.11%
TDC,-13.80%
PAY,-13.47%
ATKR,-12.51%
BWXT,-11.97%
SUZ,-11.57%
DDOG,-11.48%
RYTM,-10.32%
APLS,-10.06%
PRGO,-9.81%
DIS,-9.51%
RYAAY,-9.33%
VNO,-9.09%
MDGL,-7.48%
AL,-7.29%
RRX,-6.91%
XPEV,-6.64%
WOLF,-6.52%
PINC,-6.32%
TCNNF,-6.28%
TGLS,-6.26%
BCC,-6.24%
RACE,-6.23%
LITE,-6.14%
